id	role	alias	tag
1773	Cel Effects	cel effects	PERFORMER
9916	Cel Illustration Assistance	cel illustration assistance	PERFORMER
4195	Cel Illustrator	cel illustrator	PERFORMER
1182	Celesta	celesta	PERFORMER
73	Cello	cello	PERFORMER
6887	Cello Accompaniment	cello accompaniment	PERFORMER
1770	Cello Arranger	cello arranger	ARRANGER
10371	Cello Director	cello director	PERFORMER
6448	Cello Ensemble	cello ensemble	PERFORMER
5850	Cello Percussion	cello percussion	PERFORMER
9322	Cello Performance Producer	cello performance producer	PERFORMER
5508	Cello Quartet	cello quartet	PERFORMER
2819	Cello Recording Coordinator	cello recording coordinator	PERFORMER
3306	Cello Recording Engineer	cello recording engineer	PERFORMER
6420	Cello Recording Studio	cello recording studio	PERFORMER
6128	Cello Steelpan	cello steelpan	PERFORMER
4633	Cello Top	cello top	PERFORMER
9428	Celtic Fiddle	celtic fiddle	PERFORMER
1336	Celtic Harp	celtic harp	PERFORMER
248	Celtic Percussion	celtic percussion	PERFORMER
9179	Celtic Violin	celtic violin	PERFORMER
249	Celtic Whistles	celtic whistles	PERFORMER
2910	Cembalo Recording Engineer	cembalo recording engineer	PERFORMER
2911	Cembalo Recording Studio	cembalo recording studio	PERFORMER
2398	CeVIO Programmer	cevio programmer	PERFORMER
1026	CG	cg	PERFORMER
9219	CG Advisor	cg advisor	PERFORMER
7779	CG Animator	cg animator	PERFORMER
2085	CG Art	cg art	PERFORMER
3277	CG Art Director	cg art director	PERFORMER
5410	CG Assistant	cg assistant	PERFORMER
5041	CG Background Art	cg background art	PERFORMER
9652	CG Chief Designer	cg chief designer	PERFORMER
4413	CG Coloring	cg coloring	PERFORMER
4223	CG Compositor	cg compositor	PERFORMER
7468	CG Concept	cg concept	PERFORMER
8364	CG Concept Director	cg concept director	PERFORMER
10268	CG Coordinator	cg coordinator	PERFORMER
1823	CG Designer	cg designer	PERFORMER
1824	CG Director	cg director	PERFORMER
8500	CG Editor	cg editor	PERFORMER
935	CG Effects	cg effects	PERFORMER
4739	CG Engineer	cg engineer	PERFORMER
5040	CG Finishing	cg finishing	PERFORMER
6343	CG Illustration Production	cg illustration production	PERFORMER
6344	CG Illustration Provider	cg illustration provider	PERFORMER
2831	CG Illustrator	cg illustrator	PERFORMER
4414	CG Layout	cg layout	PERFORMER
7778	CG Lighting	cg lighting	PERFORMER
7020	CG Material Assistance	cg material assistance	PERFORMER
7679	CG Model Supervisor	cg model supervisor	PERFORMER
1249	CG Modeling	cg modeling	PERFORMER
5393	CG Operator	cg operator	PERFORMER
7438	CG Posing	cg posing	PERFORMER
1822	CG Producer	cg producer	PERFORMER
9651	CG Production	cg production	PERFORMER
1821	CG Production Assistant	cg production assistant	PERFORMER
7780	CG Production Manager	cg production manager	PERFORMER
8285	CG Supervisor	cg supervisor	PERFORMER
973	CG Treatment	cg treatment	PERFORMER
4536	CG Video Production	cg video production	PERFORMER
2308	CGI	cgi	PERFORMER
1073	Chacha	chacha	PERFORMER
7488	Chainsaw	chainsaw	PERFORMER
1201	Chairman	chairman	PERFORMER
6238	Chajchas	chajchas	PERFORMER
7839	Challenge Mode Music	challenge mode music	PERFORMER
5748	Chalumeau	chalumeau	PERFORMER
3374	Chamber Orchestra	chamber orchestra	PERFORMER
4194	Chamber Orchestra Arranger	chamber orchestra arranger	ARRANGER
8799	Chamber Orchestra Conductor	chamber orchestra conductor	CONDUCTOR
9273	Chamber Orchestra Recording Studio	chamber orchestra recording studio	PERFORMER
2455	Chanchiki	chanchiki	PERFORMER
8437	Channel Distribution	channel distribution	PERFORMER
2281	Chant	chant	PERFORMER
10369	Chant Arranger	chant arranger	ARRANGER
6976	Chant Recording Studio	chant recording studio	PERFORMER
186	Chanting/Clapping	chanting/clapping	PERFORMER
5593	Chapman Stick	chapman stick	PERFORMER
4242	Chappa	chappa	PERFORMER
9407	Character Art Director	character art director	PERFORMER
8551	Character Artist	character artist	PERFORMER
8383	Character CG Designer	character cg designer	PERFORMER
8063	Character CG Illustrator	character cg illustrator	PERFORMER
9068	Character Coloring	character coloring	PERFORMER
7407	Character Concept	character concept	PERFORMER
6109	Character Coordinator	character coordinator	PERFORMER
6869	Character Design Assistance	character design assistance	PERFORMER
1431	Character Design Supervisor	character design supervisor	PERFORMER
958	Character Designer	character designer	PERFORMER
